# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (1.196919e+01 -3.425831e-06 -2.729256e-05)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-3.426009e-06 -5.004688e-05 -1.142439e+00))
1             	((1.702350e+01 -6.285875e+00 -1.924738e-02) (1.274685e+01 -7.645842e-03 -1.647061e-04)) ((2.290255e-04 -8.533746e-03 3.178928e+02) (-5.227816e-06 -7.877245e-04 -1.897137e+00))
2             	((1.114174e+01 5.073385e+01 4.426567e-03) (1.302701e+01 2.182353e-01 6.801526e-04)) ((-3.067446e-03 -3.348293e-02 2.000494e+02) (3.940710e-04 -5.370194e-04 -2.668285e+00))
3             	((7.394981e+00 6.505179e+01 -3.219626e-03) (1.308106e+01 2.849944e-01 6.119957e-04)) ((-2.052026e-03 -5.906568e-02 1.248384e+02) (4.838278e-04 -2.792691e-04 -2.967830e+00))
4             	((5.309071e+00 6.694095e+01 3.132945e-03) (1.297506e+01 2.929136e-01 2.480786e-04)) ((-2.199658e-03 -6.083393e-02 8.267537e+01) (3.936002e-04 -1.396713e-03 -3.031832e+00))
5             	((4.036452e+00 6.605237e+01 9.305434e-03) (1.279494e+01 2.852414e-01 -7.068947e-05)) ((-2.479326e-03 -5.229795e-02 5.663664e+01) (2.353369e-04 -2.144201e-03 -2.995546e+00))
6             	((3.233700e+00 6.459966e+01 9.282820e-03) (1.254901e+01 2.809041e-01 -2.650351e-04)) ((-1.305891e-03 -3.603905e-02 4.008037e+01) (7.873829e-05 -2.797110e-03 -2.922740e+00))
7             	((2.737645e+00 6.328417e+01 6.008668e-03) (1.227427e+01 2.802132e-01 -3.090808e-04)) ((6.846697e-04 -1.930907e-02 2.979956e+01) (-2.479423e-05 -2.720312e-03 -2.831592e+00))
8             	((2.446708e+00 6.226489e+01 2.501601e-03) (1.199769e+01 2.823330e-01 -6.755843e-05)) ((2.375456e-03 -5.830797e-03 2.377909e+01) (-7.252475e-05 -2.746752e-03 -2.733241e+00))
9             	((2.283401e+00 6.152522e+01 -1.398675e-03) (1.173602e+01 2.870735e-01 1.351937e-04)) ((3.919012e-03 3.154579e-03 2.044412e+01) (-6.711785e-05 -2.332860e-03 -2.637360e+00))
10            	((2.200433e+00 6.099461e+01 -1.272455e-03) (1.149845e+01 2.937160e-01 3.824033e-04)) ((4.201552e-03 9.224340e-03 1.883616e+01) (-4.003519e-05 -2.214332e-03 -2.548760e+00))
11            	((2.153571e+00 6.054390e+01 -5.497857e-03) (1.128909e+01 3.012358e-01 4.397922e-04)) ((5.413324e-03 1.172438e-02 1.802384e+01) (-1.889561e-05 -2.095244e-03 -2.469934e+00))
